userid,group,Q1-1,Q1-2,Q1-3,Q1-4,Q2-1,Q2-2,Q2-3,Q2-4,Q3-1,Q3-2,Q3-3,Q3-4,Q4-1,Q4-2,Q4-3,Q4-4,Q5-1,Q5-2,Q5-3,Q5-4
70,A,4,2,2,5,1,1,1,1,2,3,3,4,3,5,4,5,4,3,4,2
71,A,5,4,1,2,4,3,2,4,1,3,4,4,2,2,2,3,4,4,3,1
72,A,1,3,3,3,3,4,4,1,1,4,3,5,2,3,1,4,1,4,1,5
73,A,1,5,3,2,4,5,1,3,2,4,2,2,1,1,4,4,5,1,1,3
74,A,2,1,3,5,4,3,2,1,2,1,2,1,2,3,3,2,2,4,1,2
75,A,4,2,5,4,2,1,3,3,4,2,5,4,1,3,2,3,1,2,3,3
76,A,1,4,2,5,2,5,2,3,1,4,2,2,5,1,1,3,2,3,4,4
77,A,4,4,2,1,4,3,2,4,2,1,4,5,4,2,5,5,3,3,3,4
78,A,4,2,1,5,4,3,1,1,1,5,5,1,3,4,3,5,5,3,3,3
79,A,4,2,4,3,3,1,3,3,2,2,3,1,4,2,4,1,2,3,1,1
80,A,2,3,4,1,4,5,5,2,2,5,2,4,3,3,2,4,5,4,4,2
81,A,1,5,2,3,2,3,3,3,1,3,3,3,5,5,2,5,2,4,3,4
82,A,2,4,3,3,1,4,2,3,5,1,1,3,2,2,4,2,1,1,4,1
83,A,2,4,3,4,2,3,4,5,3,5,1,3,3,2,1,4,2,4,3,4
84,A,1,3,2,4,1,3,3,5,1,4,4,4,5,2,4,1,4,3,3,2
85,A,2,3,2,2,3,1,2,3,1,2,4,4,1,3,5,3,5,4,3,2
86,A,3,5,2,3,2,3,3,1,5,1,1,2,4,1,4,3,4,5,2,1
87,A,5,4,2,3,3,4,4,5,1,1,2,1,5,1,5,4,2,5,2,1
88,A,5,2,5,5,1,3,2,4,4,1,2,4,1,1,3,5,3,2,4,2
89,A,2,1,2,2,4,2,4,3,5,3,3,4,2,4,3,5,3,3,4,4
90,A,3,4,3,4,5,4,4,5,2,4,5,4,3,1,4,3,1,2,2,3
91,A,4,3,5,3,3,1,2,4,2,4,5,4,1,2,4,1,5,3,5,2
92,A,3,3,4,2,4,5,3,5,1,4,4,5,4,5,4,4,5,4,3,3
93,A,2,4,2,3,2,2,2,4,3,3,4,2,1,1,3,4,3,1,3,4
94,A,4,4,3,2,4,5,4,3,1,4,4,5,3,3,2,4,5,4,1,3
95,A,1,4,2,5,4,4,2,3,5,4,4,2,4,4,3,3,3,4,4,3
96,A,4,2,4,4,2,1,4,3,3,4,2,2,4,4,1,5,3,4,1,1
97,A,3,3,4,4,4,2,3,4,2,2,4,4,2,3,4,4,1,1,5,3
98,A,3,4,3,3,4,1,3,4,5,3,2,3,5,4,3,5,5,3,3,4
99,A,4,3,4,3,4,2,4,4,3,3,3,3,3,4,3,3,2,4,2,2
100,A,3,4,2,4,3,2,4,4,4,4,3,4,4,3,5,4,2,3,4,4
101,A,3,4,5,2,5,4,3,4,2,4,3,2,1,5,4,1,2,2,4,4
102,A,3,4,2,3,4,5,2,4,1,1,4,4,4,1,2,2,4,5,2,3
103,A,4,4,4,1,5,4,5,4,5,4,4,5,4,3,4,4,2,2,2,3
104,A,5,2,1,3,1,5,4,4,1,1,3,3,1,5,3,2,3,4,4,3
105,A,3,1,1,4,2,4,2,2,5,1,2,1,5,3,3,1,5,3,4,3
106,A,5,3,2,4,3,2,1,4,2,2,3,1,4,2,3,1,3,3,2,5
107,A,1,2,4,4,2,4,5,3,5,4,4,5,1,3,2,4,1,3,3,2
108,A,4,4,1,3,3,4,2,4,3,5,3,3,5,3,2,3,2,1,1,4
109,A,4,3,1,2,2,3,4,1,1,3,3,1,4,2,2,3,4,2,4,3
110,A,1,5,3,4,1,5,4,3,4,3,4,1,4,3,5,4,3,2,3,5
111,A,3,4,4,2,4,3,3,3,4,1,2,4,3,3,4,4,5,3,2,5
112,A,1,5,4,4,1,1,2,2,4,4,1,2,2,4,2,5,5,1,3,3
113,A,4,5,4,3,3,4,1,5,4,1,3,2,4,3,2,1,1,1,1,1
114,A,2,2,4,5,2,2,4,2,3,3,3,2,2,5,2,2,4,4,4,2
115,A,4,3,2,4,1,1,1,1,5,1,2,4,5,1,5,3,4,1,1,4
116,A,5,5,2,4,4,3,2,1,3,4,4,2,2,5,3,3,4,2,5,3
117,A,1,2,3,2,2,2,2,3,1,2,3,1,4,4,2,5,3,1,5,2
118,A,3,3,2,3,4,3,4,4,3,4,4,2,5,2,4,1,2,3,4,5
119,A,2,2,4,2,1,3,5,3,4,3,4,3,4,4,3,4,2,4,3,4
120,A,1,4,2,1,3,2,2,4,1,2,3,2,4,5,5,2,2,5,3,1
121,A,4,3,1,1,5,4,4,3,1,4,3,4,3,3,4,4,2,3,3,2
122,A,1,2,5,2,4,5,2,2,4,4,4,1,5,1,2,3,2,5,3,5
123,A,1,4,2,2,4,1,2,5,2,4,2,3,3,2,5,4,5,3,5,4
124,A,2,3,2,4,2,4,3,2,4,1,2,3,4,4,2,5,1,2,4,1
125,A,4,4,3,4,1,4,2,3,4,5,4,5,4,2,2,3,1,3,5,2
126,A,2,5,3,5,1,1,4,4,5,2,2,1,1,2,3,4,4,3,3,3
127,A,4,2,2,2,2,3,4,3,2,2,4,1,4,2,1,4,4,4,2,2
128,A,1,4,3,1,4,4,5,4,1,5,3,5,1,3,2,4,3,3,4,2
129,A,4,4,2,4,3,3,5,4,4,5,3,5,2,3,1,4,4,4,4,4
130,A,3,4,3,4,1,2,5,2,3,3,4,5,3,4,3,5,4,1,2,1
131,A,5,5,1,2,3,1,3,3,4,3,1,4,2,4,1,3,3,2,2,4
132,A,2,3,1,3,2,4,2,2,2,3,1,3,2,1,1,4,1,3,5,2
133,A,3,5,4,1,3,4,4,5,5,3,2,3,3,4,2,4,1,4,3,3
134,A,2,3,4,1,3,4,4,3,3,2,5,5,1,4,2,5,2,5,5,2
135,A,2,2,5,3,2,5,3,5,3,2,2,2,4,4,2,1,4,4,5,5
136,A,4,1,5,1,3,3,3,5,4,1,4,3,3,3,4,4,2,5,2,2
137,A,5,2,4,2,1,4,3,2,2,3,4,3,4,3,2,3,4,3,5,1
138,A,1,5,5,3,3,3,5,5,5,2,1,4,2,4,5,3,4,4,4,4
139,A,4,2,1,2,4,1,3,3,3,4,4,4,4,4,5,5,3,2,3,2
140,A,3,3,4,1,2,2,4,1,4,3,4,1,3,2,4,2,2,2,1,4
141,A,3,1,2,5,4,1,4,4,3,2,2,2,2,5,1,5,3,1,1,5
142,A,4,4,2,4,2,3,3,2,4,4,3,2,3,5,4,3,5,3,4,4
143,A,1,1,5,4,3,4,3,4,3,3,4,4,5,2,1,4,1,4,3,3
144,A,4,1,4,1,4,1,2,2,2,4,2,2,3,5,3,1,4,3,2,4
145,A,1,2,2,2,4,4,4,3,4,3,4,3,5,4,1,3,2,1,3,4
146,A,5,3,4,4,2,3,2,5,2,1,1,4,4,1,4,2,2,2,4,3
147,A,4,2,3,2,5,4,3,2,2,4,4,2,2,3,2,4,4,4,3,4
148,A,1,1,2,2,4,1,4,1,4,4,4,5,4,3,5,2,1,5,2,1
149,A,2,3,4,5,3,1,4,1,4,5,2,2,5,3,2,1,3,1,2,3
150,A,3,3,1,3,3,2,4,2,4,2,5,5,4,5,2,4,4,4,3,2
151,A,2,3,3,1,3,4,4,1,4,3,4,1,4,2,4,4,3,3,1,5
152,A,4,2,4,5,3,4,4,1,2,4,1,3,4,1,4,3,1,4,1,3
153,A,3,3,4,2,1,2,2,1,2,5,2,1,4,2,3,2,3,2,1,4
154,A,2,2,1,4,4,3,5,5,3,3,2,4,4,4,2,2,5,4,4,5
155,A,5,5,4,4,4,5,2,2,2,4,4,2,5,3,5,4,1,2,3,1
156,A,1,4,4,3,2,5,2,5,1,2,2,4,3,4,2,1,4,3,3,3
157,A,2,4,3,4,3,5,2,5,4,3,2,2,2,3,1,1,5,3,1,4
158,A,3,4,2,5,1,1,4,3,4,2,2,1,4,1,3,4,2,1,1,4
159,A,1,5,5,4,3,3,2,4,3,2,3,1,2,5,2,5,4,4,4,3
160,A,4,3,2,4,2,4,2,4,4,5,1,1,4,1,5,2,4,4,4,4
161,A,5,2,2,3,5,4,2,2,1,3,3,3,4,4,2,4,4,2,3,1
162,A,4,5,3,3,5,4,2,1,5,3,2,1,5,5,4,1,4,2,1,4
163,A,4,5,3,2,4,3,2,4,2,2,4,2,2,1,4,4,1,1,1,4
164,A,1,5,2,2,4,2,3,2,3,2,3,2,1,5,4,1,2,4,2,2
165,A,2,4,3,1,1,1,4,3,5,4,4,4,5,4,1,4,2,1,4,4
166,A,1,1,3,4,1,4,2,4,5,5,3,4,3,1,4,3,2,4,4,4
167,A,4,4,3,4,4,3,3,3,2,4,2,3,4,1,1,4,5,5,2,3
168,A,3,4,2,5,2,2,4,5,1,3,3,2,3,2,5,2,5,5,3,4
169,A,1,5,4,2,5,1,1,2,4,2,2,3,4,3,3,4,2,5,4,3
170,A,5,5,5,4,4,3,3,1,2,3,1,3,5,3,3,5,4,4,2,1
171,A,3,1,2,4,3,2,1,4,4,3,3,4,1,3,3,3,3,4,2,4
172,A,4,2,2,4,4,2,3,4,4,2,1,4,2,2,3,2,4,1,5,2
173,A,4,4,4,2,4,2,2,3,3,3,1,4,5,1,2,3,1,5,2,4
174,A,5,3,4,5,2,2,2,3,4,3,1,2,3,3,2,4,4,4,1,2
175,A,3,1,2,1,2,2,3,4,5,5,2,4,5,2,1,3,5,2,4,3
176,A,1,2,1,2,2,1,3,1,2,1,3,4,1,3,2,4,3,4,2,4
177,A,4,3,4,5,3,4,3,3,4,3,3,2,1,1,3,2,1,3,4,4
178,A,5,1,4,1,5,1,2,1,3,4,1,3,3,2,3,3,5,3,4,4
179,A,2,2,4,3,2,1,3,1,2,4,1,1,4,4,5,2,4,4,4,4
180,A,4,2,3,4,5,4,3,4,1,1,4,2,4,3,4,3,3,5,2,2
181,A,4,1,1,1,5,3,4,4,2,3,4,2,5,3,3,5,4,4,4,5
182,A,4,3,4,5,4,2,1,2,4,5,4,3,3,2,3,2,1,4,4,4
183,A,4,2,4,1,3,5,4,2,5,5,1,2,2,3,4,1,4,5,1,3
184,A,2,1,3,1,3,5,4,4,5,4,3,2,1,2,5,5,3,3,4,4
185,A,4,4,3,3,5,2,5,3,3,5,2,3,4,2,4,2,3,2,2,4
186,A,5,3,1,2,4,3,2,3,2,1,4,3,3,4,4,2,2,2,3,4
187,A,4,1,3,2,2,3,2,2,2,1,3,4,3,2,3,5,4,3,2,2
188,A,1,3,2,4,3,2,3,4,3,4,4,5,2,4,4,1,3,2,1,3
189,A,3,2,4,3,2,5,2,3,3,2,3,3,3,5,1,4,2,4,4,5
190,A,2,2,1,2,3,4,4,3,2,3,1,5,2,5,2,3,2,4,3,5
191,A,5,3,2,3,2,2,3,4,1,3,2,1,2,5,2,3,3,3,1,4
192,A,4,2,3,2,2,4,1,3,2,2,2,4,1,4,2,4,1,2,1,3
193,A,4,1,2,3,1,2,2,3,3,5,2,1,5,3,1,1,3,1,4,4
194,A,4,2,1,2,4,1,2,1,1,4,4,5,4,4,4,2,5,4,2,4
195,A,5,2,2,4,1,5,4,4,4,5,2,4,5,2,3,3,3,2,3,1
196,A,4,2,5,3,3,5,2,1,4,2,3,4,3,5,3,5,5,3,1,4
197,A,1,4,3,4,4,4,2,4,4,2,3,3,3,2,4,4,4,3,3,3
198,A,3,5,2,4,4,4,3,4,2,3,2,5,4,3,3,2,4,4,3,4
199,A,4,3,4,5,3,5,2,3,5,1,4,3,3,1,3,2,2,1,3,5
200,A,4,2,3,5,4,2,3,4,5,3,2,1,5,5,5,3,5,4,4,3
201,A,1,3,4,4,4,5,4,1,3,4,3,5,3,2,3,3,5,4,2,2
202,A,4,4,3,2,4,2,3,5,4,1,3,2,5,4,2,2,4,5,4,5
203,A,5,3,3,2,5,3,4,2,1,4,4,3,1,5,1,4,4,3,2,4
204,A,1,2,3,4,3,4,3,2,4,5,5,3,3,4,4,2,4,3,4,4
205,A,4,1,4,4,1,1,4,4,3,3,4,4,2,2,3,4,3,4,4,5
206,A,1,2,5,3,3,2,5,3,5,5,5,3,3,3,5,3,4,1,5,1
207,A,1,3,3,4,5,4,2,2,3,4,4,1,2,1,4,4,1,4,2,4
208,A,3,2,1,2,4,5,2,5,4,4,1,3,4,3,4,5,2,4,2,3
209,A,5,2,4,4,5,2,3,3,2,4,3,3,2,4,2,3,2,4,3,2
210,A,4,4,2,4,5,3,2,2,2,2,2,2,4,3,2,3,1,2,2,5
211,A,2,1,4,4,1,3,2,1,1,4,3,4,1,1,4,5,3,5,4,4
212,A,1,2,3,4,3,1,3,1,3,4,4,4,4,4,2,3,2,4,2,3
213,A,4,1,4,1,2,4,2,3,3,5,3,3,5,1,4,1,4,5,1,2
214,A,2,4,4,3,4,2,3,1,1,2,2,1,3,5,4,3,5,1,3,3
215,A,2,2,4,3,4,3,4,1,1,2,3,2,4,4,5,3,3,4,1,4
216,A,3,2,3,1,1,2,4,2,3,5,4,2,2,2,1,4,5,3,4,5
217,A,4,2,3,1,1,3,1,4,4,3,3,4,2,1,1,2,3,3,5,2
218,A,2,4,1,4,4,4,2,1,4,3,1,3,2,4,4,3,4,4,1,1
219,A,2,2,4,1,2,2,1,3,4,5,5,2,1,4,5,4,5,4,2,5
220,A,2,3,2,2,2,4,2,3,5,4,5,5,4,2,3,2,1,1,2,2
221,A,2,1,1,3,2,4,1,5,4,4,5,3,3,1,3,2,4,3,5,2
222,A,2,2,2,3,4,1,2,3,1,3,5,2,3,1,2,1,5,4,1,4
223,A,1,4,1,1,1,5,3,3,4,4,5,2,5,4,4,2,2,2,4,3
224,A,4,3,2,2,3,1,2,5,4,1,4,4,5,3,4,3,4,5,2,2
225,A,2,5,2,4,3,2,1,1,2,2,3,3,4,5,4,1,5,5,5,4
226,A,4,1,5,1,4,1,4,3,4,2,1,2,4,4,2,4,3,3,2,1
227,A,2,1,2,1,4,4,4,5,4,2,2,1,3,2,4,3,4,3,1,2
228,A,3,4,4,5,1,2,2,4,2,3,5,4,2,2,2,4,2,2,2,5
229,A,3,4,3,2,1,4,5,4,2,4,2,1,5,3,1,2,5,5,5,4
230,A,3,4,2,3,2,3,1,4,5,1,4,3,1,3,1,4,1,3,1,2
231,A,5,1,3,3,4,4,5,4,1,5,3,3,5,3,2,4,2,5,4,4
232,A,4,4,1,4,2,4,1,3,2,2,4,4,2,2,3,1,2,2,2,2
233,A,3,1,1,2,4,3,3,2,2,2,3,5,1,4,2,4,1,2,2,2
234,A,2,3,3,5,3,4,5,4,3,2,5,4,2,2,4,1,4,3,2,1
235,A,3,3,4,2,5,3,1,5,3,1,2,3,5,4,2,1,2,2,2,1
236,A,4,3,5,2,3,4,1,5,4,3,2,4,4,2,4,3,2,4,4,1
237,A,4,3,2,5,4,3,1,3,1,3,2,1,1,5,4,3,3,4,4,2
238,A,2,5,2,5,5,4,3,5,2,3,4,2,4,4,2,4,3,2,2,3
239,A,3,5,3,4,3,3,4,3,1,3,1,1,3,3,2,1,2,4,2,5
240,A,1,3,4,4,1,3,2,1,3,3,1,3,4,5,3,4,4,4,3,4
241,A,3,5,3,4,5,1,2,2,4,1,4,4,2,5,4,5,2,2,3,2
242,A,3,4,2,4,5,2,3,5,5,1,4,4,5,5,2,3,4,5,4,4
243,A,1,4,1,4,3,2,4,2,1,4,4,2,5,3,3,4,4,4,2,5
244,A,2,2,2,4,5,1,4,1,3,1,2,4,1,4,4,2,4,3,3,2
245,A,5,2,5,2,3,1,2,2,5,4,4,2,1,1,3,3,3,2,3,5
246,A,2,2,2,2,3,3,3,4,2,3,3,3,3,4,3,4,2,2,3,2
247,A,5,5,1,4,2,1,2,4,2,5,1,2,1,2,3,4,3,3,3,4
248,A,4,5,4,5,2,2,2,5,1,2,2,4,3,1,2,4,4,2,2,1
249,A,2,3,4,1,4,5,3,2,5,3,2,2,4,5,3,4,2,3,4,1
250,B,2,5,1,2,1,5,2,1,4,3,2,4,3,3,4,4,3,4,5,2
251,B,4,5,2,4,2,4,1,1,3,4,2,2,1,2,3,1,2,1,3,4
252,B,2,5,3,4,4,1,3,3,1,2,2,1,2,5,1,1,1,2,2,3
253,B,1,3,1,1,5,3,5,2,5,2,4,3,4,5,3,2,5,1,4,3
254,B,1,4,1,4,1,1,5,3,4,5,4,3,1,4,4,5,1,4,3,1
255,B,2,3,1,2,3,3,2,3,1,4,4,3,1,1,3,4,1,3,2,3
256,B,2,4,4,4,2,1,5,1,3,5,2,2,5,4,3,3,2,1,5,4
257,B,3,1,4,4,2,5,3,2,2,4,3,4,4,4,4,4,4,4,3,3
258,B,4,3,4,2,4,2,4,2,1,1,4,1,4,2,3,3,4,2,1,2
259,B,4,4,5,5,4,3,2,2,3,4,3,5,5,3,2,5,3,4,3,4
260,B,3,2,3,1,2,3,2,2,3,4,4,3,1,3,3,4,3,4,3,1
261,B,2,2,5,2,4,1,4,1,1,2,3,2,4,4,1,2,1,2,4,4
262,B,1,3,2,4,2,1,4,2,2,4,4,4,2,5,4,4,3,4,1,3
263,B,3,4,5,2,2,5,5,2,4,5,3,2,2,2,2,3,1,1,1,3
264,B,2,4,2,3,4,1,4,2,2,2,2,3,4,4,2,3,1,4,3,4
265,B,3,5,2,1,4,4,4,1,2,3,3,5,2,4,4,5,3,5,4,1
266,B,2,3,1,4,1,4,2,4,2,3,3,2,1,1,4,1,4,2,2,4
267,B,1,2,3,1,1,4,3,2,4,3,2,4,4,3,2,4,2,4,2,3
268,B,4,4,2,3,4,4,4,4,4,2,4,3,5,1,4,4,4,4,2,1
269,B,4,4,2,3,5,4,1,4,1,1,5,1,3,4,2,5,4,5,4,4
270,B,3,1,3,2,4,5,3,3,2,4,2,3,3,2,1,2,2,1,2,2
271,B,4,4,1,3,3,1,2,3,3,1,2,4,3,3,1,2,3,4,4,1
272,B,1,3,4,4,3,1,2,4,1,3,1,3,3,4,1,2,3,1,2,2
273,B,1,3,3,3,2,5,1,4,1,3,3,3,4,3,2,2,2,5,1,3
274,B,4,3,2,5,3,4,2,1,3,4,2,5,4,4,4,4,2,3,4,5
275,B,2,5,4,1,5,4,2,3,5,5,2,4,4,1,2,4,3,1,2,4
276,B,1,4,4,1,3,4,3,4,5,1,2,1,5,4,3,5,3,5,2,4
277,B,1,2,2,4,4,4,4,4,5,3,3,3,3,3,1,1,2,4,4,4
278,B,2,2,1,4,3,3,3,3,5,4,2,1,3,2,2,1,5,4,1,2
279,B,1,4,4,5,5,1,4,4,5,3,3,2,1,1,4,1,3,5,2,4
280,B,3,2,4,4,1,5,1,4,3,3,3,3,3,1,4,2,1,1,3,3
281,B,2,2,2,4,4,5,2,2,1,2,1,4,3,3,3,4,3,1,4,2
282,B,2,5,4,4,2,2,4,4,2,2,3,3,1,4,5,4,1,2,4,3
283,B,3,5,5,1,5,5,3,1,2,4,1,1,2,3,2,3,1,4,4,1
284,B,3,1,1,4,3,5,4,3,1,1,2,4,4,3,1,2,5,5,2,3
285,B,3,4,1,3,3,1,1,4,2,2,3,5,4,5,4,3,4,2,2,5
286,B,3,3,4,5,3,3,5,3,4,1,4,2,3,4,3,4,2,3,3,2
287,B,2,2,4,1,3,4,4,2,1,2,2,3,3,4,4,2,4,3,2,3
288,B,4,4,4,1,2,1,4,2,2,3,3,4,3,4,4,2,2,3,4,5
289,B,3,4,1,1,1,1,4,2,5,4,2,2,4,2,2,4,4,5,3,4
290,B,4,4,2,2,1,5,2,5,3,3,3,4,4,2,5,4,3,5,4,1
291,B,1,4,4,5,1,4,2,5,2,1,1,2,2,2,3,3,4,4,2,2
292,B,5,1,2,1,3,3,4,4,3,4,4,5,3,4,2,4,5,3,2,1
293,B,2,2,2,4,1,3,4,3,2,1,1,4,4,2,3,4,1,3,4,5
294,B,1,4,2,4,4,1,2,5,4,5,4,1,5,3,1,3,4,2,4,4
295,B,4,4,4,3,4,4,3,3,4,4,2,4,2,1,2,3,4,2,2,3
296,B,2,5,4,4,4,3,2,3,4,4,1,2,3,2,4,3,2,4,2,3
297,B,3,2,2,4,3,4,4,3,4,4,2,5,4,4,3,4,5,2,2,3
298,B,2,5,2,2,4,4,2,1,2,3,2,1,5,4,2,3,1,2,3,4
299,B,5,4,2,4,3,2,4,4,3,4,3,4,4,4,4,5,2,5,2,3
300,B,5,5,4,4,3,3,1,4,2,2,4,1,2,4,1,1,2,3,2,4
301,B,4,4,1,1,4,2,3,4,1,5,1,4,4,4,2,1,3,3,5,1
302,B,5,5,4,1,3,4,2,1,1,4,4,3,3,3,4,1,1,2,4,5
303,B,5,1,3,2,1,1,2,3,3,1,4,4,4,4,3,4,4,2,3,2
304,B,2,4,2,1,1,5,3,2,4,5,3,4,3,2,3,4,4,2,2,5
305,B,2,2,4,1,2,3,4,3,2,2,3,4,2,4,2,2,5,1,3,5
306,B,3,1,3,3,5,2,4,2,3,3,3,3,3,2,4,4,2,4,1,4
307,B,4,5,1,3,5,4,3,3,1,4,4,3,3,1,4,2,1,3,4,4
308,B,3,4,3,1,1,1,4,2,4,5,3,2,3,2,2,3,3,3,2,1
309,B,3,2,3,5,1,1,4,4,4,1,2,1,2,5,4,1,4,4,4,4
310,B,4,3,3,1,2,2,5,2,1,4,1,4,2,2,1,4,2,4,3,3
311,B,2,4,2,2,2,5,2,1,3,5,2,4,1,4,4,2,1,3,2,4
