Id,LotArea,LotFrontage,YearBuilt,1stFlrSF,2ndFlrSF,YearRemodAdd,TotRmsAbvGrd,KitchenAbvGr,BedroomAbvGr,GarageCars,GarageArea,price
178,13650,,1958,1252,668,1958,8,1,4,2,451,12.058158312538197
179,17423,63.0,2008,2234,0,2009,9,1,1,3,1166,13.126032637428713
180,8520,60.0,1923,968,0,2006,5,1,2,2,480,11.51293546492023
181,2117,,2000,769,756,2000,5,1,3,2,440,12.083910661257521
182,7588,54.0,1920,901,901,1950,9,1,4,1,216,12.206577518060588
183,9060,60.0,1957,1340,0,2006,7,1,3,1,252,11.695255355062795
184,11426,63.0,2003,1362,720,2003,6,1,3,2,484,12.206077645517674
185,7438,92.0,1908,936,316,1991,5,1,3,2,576,11.751950239425476
186,22950,90.0,1892,1518,1518,1993,12,1,4,3,840,13.07107218827772
187,9947,,1990,1217,0,1991,6,1,3,2,497,12.06105265381003
188,10410,60.0,1916,808,704,1987,8,1,3,1,180,11.813037464800539
189,7018,64.0,1979,1224,0,1979,6,2,2,2,528,11.940399914116648
190,4923,41.0,2001,1593,0,2002,5,1,0,2,682,12.563750586299374
191,10570,70.0,1932,1549,1178,1994,10,1,3,2,440,12.660331092405906
192,7472,,1972,725,754,2004,7,1,4,2,484,12.122696471358964
193,9017,68.0,1999,1431,0,1999,6,1,3,2,666,12.165255859329688
194,2522,24.0,2004,970,739,2004,7,1,3,2,380,11.775297421715827
195,7180,60.0,1972,864,0,1972,5,1,3,1,352,11.751950239425476
196,2280,24.0,1976,855,601,1976,7,1,3,2,440,11.908346971208951
197,9416,79.0,2007,1726,0,2007,8,1,3,3,786,12.650351332641707
198,25419,174.0,1918,1360,1360,1990,8,1,4,2,795,12.367345048436391
199,5520,92.0,1912,929,929,1950,8,1,5,0,0,11.552155793461898
200,9591,76.0,2004,1713,0,2005,7,1,3,3,856,12.524166311833152
201,8546,80.0,2003,1121,0,2004,5,1,2,2,440,11.849404844423074
202,10125,75.0,1977,1279,0,1977,6,1,3,2,473,12.052344376474922
203,7000,50.0,1924,865,445,1950,6,1,2,1,398,11.626263078808801
204,4438,,2004,848,0,2004,3,1,1,2,420,11.91170829631447
205,3500,50.0,1947,720,564,1950,5,1,2,1,240,11.608244735642321
206,11851,99.0,1990,1442,0,1990,5,1,3,2,500,12.103491596905931
207,13673,40.0,1962,1696,0,1962,8,1,3,1,349,11.87688084212164
208,12493,,1960,1100,0,1960,6,1,3,1,312,11.856522261533737
209,14364,,1988,1180,882,1989,7,1,3,2,454,12.531776395271262
210,8250,75.0,1964,1092,0,1964,6,1,3,2,504,11.884495917930655
211,5604,67.0,1925,864,0,1950,5,1,2,0,0,11.49273296168228
212,10420,83.0,2009,1212,0,2009,6,1,3,2,460,12.133507329024972
213,8640,72.0,2009,932,920,2009,7,1,3,2,644,12.439875187430008
214,13568,43.0,1995,990,0,1995,5,1,3,2,576,11.957617696467539
215,10900,,1977,689,703,1977,6,1,3,1,299,11.993813394724253
216,10011,72.0,1957,1236,0,1996,6,1,2,1,447,11.808955099378537
217,8450,65.0,2004,1436,0,2004,8,1,3,2,484,12.25486757159303
218,9906,57.0,1925,810,518,1950,8,1,3,1,210,11.580593459194764
219,15660,,1939,1137,817,2006,8,1,3,2,431,12.649157827477366
220,3010,43.0,2005,1248,0,2006,5,1,2,2,438,12.027191164883384
221,8990,73.0,2006,1498,0,2006,5,1,2,2,675,12.230282214644559
222,8068,,2002,1010,1257,2002,8,1,4,2,390,12.206077645517674
223,11475,85.0,1975,811,741,1975,6,1,3,2,434,12.100161978566867
224,10500,70.0,1971,864,0,1971,4,1,2,2,576,11.48247656671073
225,13472,103.0,2003,2392,0,2003,8,1,3,3,968,12.864242696187505
226,1680,21.0,1971,630,672,1971,6,1,3,1,280,11.626263078808801
227,9950,82.0,1995,1214,1306,1995,9,1,4,3,721,12.577639650232573
228,1869,21.0,1970,483,504,1970,5,1,2,1,280,11.571203807011969
229,8521,70.0,1967,912,0,1967,5,1,3,1,336,11.736077016252437
230,3182,43.0,2005,1555,0,2006,7,1,2,2,430,12.167856627501678
231,8760,73.0,1959,1194,0,1959,6,1,3,1,312,11.904974309480183
232,15138,174.0,1995,1490,1304,1996,9,1,4,3,810,12.90669432231532
233,1680,21.0,1972,483,504,1972,5,1,2,1,288,11.456365695436427
234,10650,75.0,1976,894,0,1976,5,1,3,1,308,11.761354623750297
235,7851,,2002,860,1100,2002,8,1,4,2,440,12.285350445351659
236,1680,21.0,1971,483,504,1971,5,1,2,1,264,11.402005077384885
237,8773,65.0,2004,1414,0,2004,6,1,3,2,494,12.130815551850676
238,9453,,1993,1014,730,2003,7,1,3,2,457,12.178192583415596
239,12030,93.0,2007,1694,0,2007,7,1,3,3,818,12.669809806411457
240,8741,52.0,1945,798,689,1950,7,1,3,1,220,11.635151947212842
241,9000,75.0,2008,1566,0,2008,7,1,3,2,750,12.47801017053037
242,3880,40.0,1945,866,0,1997,4,1,2,0,0,11.612779849672751
243,5000,63.0,1900,889,551,1950,6,1,3,1,352,11.277215789596893
244,10762,75.0,1980,626,591,1980,6,1,3,1,288,11.695255355062795
245,8880,,1994,1222,888,2002,8,1,3,2,463,12.230770136157428
246,10400,80.0,1988,1872,0,1988,6,1,3,2,604,12.394628892852941
247,9142,69.0,1910,908,1020,1950,9,2,4,1,440,11.827743504053695
248,11310,75.0,1954,1375,0,1954,5,1,2,2,451,11.849404844423074
249,11317,72.0,2003,840,828,2003,8,1,3,2,500,12.100717685412471
250,159000,,1958,1444,700,2006,7,1,4,2,389,12.531776395271262
251,5350,55.0,1940,1306,0,1966,6,1,3,0,0,11.245059091624615
252,4750,44.0,2006,1625,0,2007,5,1,2,2,538,12.367345048436391
253,8366,65.0,2004,798,842,2004,6,1,3,2,520,12.06105265381003
254,9350,85.0,1964,1302,0,1991,7,1,3,1,309,11.970356641102999
255,8400,70.0,1957,1314,0,1957,5,1,3,1,294,11.884495917930655
256,8738,66.0,1999,1005,1286,1999,8,1,4,2,429,12.345838935721968
257,8791,64.0,2003,864,864,2003,7,1,3,2,673,12.242891437918386
258,8814,68.0,2006,1604,0,2006,8,1,3,2,660,12.301387370778713
259,12435,80.0,2001,963,829,2001,7,1,3,2,564,12.352339472153524
260,12702,70.0,1956,882,0,1956,4,1,2,1,308,11.48247656671073
261,19296,120.0,1962,1382,0,1962,6,1,3,2,884,12.07824495582233
262,9588,69.0,2007,1482,1092,2007,10,1,3,3,868,12.52815976788113
263,8471,88.0,1977,1212,0,1995,6,1,3,2,492,11.92504173829169
264,5500,50.0,1929,926,0,2001,6,1,3,2,484,11.775297421715827
265,5232,30.0,1925,764,0,2004,4,1,2,2,504,11.19822841866684
266,12090,78.0,1981,1422,0,1981,7,1,3,2,576,12.075400019877522
267,11207,70.0,1997,802,709,1997,8,1,3,2,413,12.128116509451258
268,8400,60.0,1939,1052,720,1997,8,1,4,1,240,12.097936057925594
269,6900,71.0,1940,778,0,1955,4,1,2,1,924,11.699413330633599
270,7917,,1976,1113,0,1976,6,1,3,1,504,11.904974309480183
271,10728,84.0,2006,1095,844,2006,8,1,3,3,1053,12.491255347155265
272,39104,73.0,1954,1363,0,2005,5,1,2,2,439,12.394628892852941
273,11764,92.0,1999,1164,1106,2007,9,1,4,3,671,12.577639650232573
274,9600,80.0,1958,1632,0,1988,6,1,3,1,338,11.842236406331555
275,8314,76.0,1982,816,0,1982,5,1,2,1,264,11.732069026983156
276,7264,55.0,1925,952,596,2007,5,1,3,2,672,12.230770136157428
277,9196,129.0,2003,1560,0,2003,7,1,3,2,573,12.211065162153215
278,19138,140.0,1951,864,0,1951,4,1,2,2,400,11.856522261533737
279,14450,107.0,2006,2121,0,2007,8,1,3,3,732,12.936754021718041
280,10005,83.0,1977,1156,866,1977,8,1,4,2,505,12.165255859329688
281,11287,82.0,1989,1175,807,1989,7,1,3,2,575,12.339295865674435
282,7200,60.0,2006,1262,0,2006,5,1,2,2,572,12.128116509451258
283,5063,34.0,2007,1314,0,2008,6,1,2,2,626,12.242891437918386
284,9612,74.0,2008,1468,0,2009,6,1,3,3,898,12.407383590534293
285,8012,50.0,1992,1575,0,1992,5,1,2,2,529,12.09626335986454
286,4251,35.0,2006,625,625,2007,5,1,2,2,528,12.011886987792716
287,9786,77.0,1962,1085,649,1981,7,1,3,2,440,11.976665770490767
288,8125,,1971,858,0,1971,5,1,3,0,0,11.385103457032141
289,9819,,1967,900,0,1967,5,1,3,1,280,11.711784520403112
290,8730,60.0,1915,698,698,2003,7,1,3,1,384,11.941950837487406
291,15611,120.0,2006,1079,840,2006,8,1,3,2,685,12.359784657728284
292,5687,55.0,1912,936,780,2000,9,1,6,0,0,11.819681958463892
293,11409,60.0,1949,1148,568,2008,8,1,3,1,281,11.782960235741939
294,16659,,1977,1468,795,1994,9,1,3,2,539,12.367345048436391
295,9600,80.0,1953,1644,0,1953,7,1,3,2,418,12.025755079404917
296,7937,37.0,1984,1003,0,1984,6,1,3,2,588,11.86710429621008
297,13710,75.0,1950,910,648,1950,6,1,4,1,282,11.931642378754141
298,7399,66.0,1997,975,975,1998,7,1,3,2,576,12.384223015005313
299,11700,90.0,1968,1041,702,1968,7,1,3,2,539,12.07254696717504
300,14000,80.0,1950,1152,0,2004,6,1,3,1,300,11.973516181427835
301,15750,90.0,1953,1336,0,1953,5,1,2,1,375,11.964007453736912
302,16226,66.0,1998,1210,1242,1999,9,1,4,2,683,12.495007682693725
303,13704,118.0,2001,1541,0,2002,6,1,3,3,843,12.230770136157428
304,9800,70.0,1972,894,0,1972,5,1,3,2,552,11.917730355182513
305,18386,87.0,1880,1675,1818,2002,10,1,3,3,870,12.59473402514672
306,10386,80.0,2004,2000,0,2005,8,1,3,3,888,12.631016799175821
307,13474,116.0,1990,1122,1121,1991,8,1,4,3,746,12.323860125621126
308,7920,,1920,1035,371,1950,6,1,3,0,0,11.402005077384885
309,12342,,1940,861,0,1950,4,1,1,2,539,11.320565693461432
310,12378,90.0,2003,1944,0,2004,8,1,3,3,708,12.793862088206213
311,7685,,1993,697,804,1994,6,1,3,2,420,12.017336559562407
312,8000,50.0,1948,972,0,2002,5,1,2,1,240,11.790564777297387
313,7800,65.0,1939,793,325,1950,5,1,3,2,410,11.694421681264394
314,215245,150.0,1965,2036,0,1965,8,1,3,2,513,12.834683971615659
315,9600,60.0,1925,832,809,1990,6,1,3,2,546,12.08954444723597
316,7795,71.0,2004,716,716,2005,6,1,3,2,432,12.146858590895919
317,13005,94.0,1980,1153,1200,1980,10,1,4,2,484,12.468440756144114
318,9000,75.0,2006,1088,871,2006,8,1,3,3,1025,12.506180941677357
319,9900,90.0,1993,1372,1274,1993,9,1,4,3,656,12.468440756144114
320,14115,,1980,1472,0,1980,6,1,3,2,588,12.141539457711714
321,16259,111.0,2006,1249,1347,2006,9,1,4,3,840,12.74444728628135
322,12099,99.0,2004,1136,1332,2004,10,1,4,3,872,12.777055016970678
323,10380,86.0,1986,1553,1177,1987,8,1,4,2,576,12.614868865984631
324,5820,49.0,1955,1163,0,2005,6,1,3,1,220,11.745433036677353
325,11275,96.0,1967,1898,1080,2007,11,1,5,2,564,12.396697137361691
326,5000,50.0,1941,803,0,1950,5,1,2,2,360,11.373674891823535
327,10846,32.0,1993,1719,0,1993,6,1,1,2,473,12.688501881189456
328,11600,80.0,1960,1383,0,1960,7,1,3,1,292,11.886218559372042
329,11888,,1916,1445,689,1994,10,1,5,2,441,12.276069679344003
330,6402,60.0,1920,596,596,1950,6,1,3,1,189,11.264476926102367
331,10624,,1964,1728,0,1964,10,2,6,1,352,11.686887175419702
332,8176,70.0,1958,1056,0,1992,6,1,3,1,308,11.842236406331555
333,10655,85.0,2003,1629,0,2004,7,1,3,3,880,12.556733038263905
334,8198,59.0,2004,1358,0,2004,6,1,2,2,484,12.240478903153711
335,9042,59.0,1998,943,695,1998,7,1,3,2,472,12.165255859329688
336,164660,,1965,1619,167,1965,7,1,3,2,529,12.34126328584159
337,14157,86.0,2005,1922,0,2006,8,1,3,3,676,12.841132451487937
338,9135,70.0,2002,1536,0,2003,7,1,3,2,532,12.273735966890268
339,14145,91.0,1984,1621,0,1998,8,1,3,2,440,12.218500103788143
340,12400,66.0,1958,1215,0,1998,6,1,3,1,297,11.951186847493476
341,14191,85.0,2002,993,915,2002,9,1,4,2,431,12.220473454337986
342,8400,60.0,1950,841,0,1950,4,1,2,1,294,11.314486721293981
343,8544,,1949,1040,0,1950,6,2,2,2,400,11.37940550085183
344,8849,63.0,2005,1684,0,2005,6,1,2,2,564,12.491255347155265
345,2592,36.0,1976,536,576,1976,4,1,3,1,336,11.350418300109132
346,6435,65.0,1939,972,605,1950,6,1,3,1,312,11.850832386224807
347,12772,,1960,958,0,1998,5,1,2,1,301,11.928347504569842
348,17600,,1960,1478,0,1960,6,1,3,2,498,11.967187086434018
349,2448,36.0,2003,764,862,2004,6,1,2,2,474,11.944714374881176
350,20431,56.0,2005,1848,880,2006,10,1,4,3,706,12.988043102265232
351,7820,68.0,2007,1869,0,2007,6,1,2,2,617,12.670001611311875
352,5271,,1986,1453,0,1986,6,1,2,2,445,12.154784614286667
353,9084,60.0,1941,616,495,1950,5,1,3,1,200,11.461642696843066
354,8520,60.0,1928,720,0,2003,5,1,2,2,484,11.570259974415547
355,8400,60.0,1940,1192,403,2000,6,1,2,1,240,11.849404844423074
356,11249,105.0,1995,1200,0,1995,6,1,3,2,521,12.086731521684555
357,9248,,1992,1167,0,1992,6,1,3,2,400,12.06105265381003
358,4224,44.0,1976,1142,0,1976,6,1,3,2,528,11.80560254159177
359,6930,92.0,1958,1352,0,1958,6,1,3,1,288,11.775297421715827
360,12011,78.0,1998,1086,838,1998,7,1,3,2,592,12.54254845357358
361,7540,,1978,912,0,1978,5,1,2,2,470,11.957617696467539
362,9144,,1940,988,517,1982,8,1,3,1,240,11.884495917930655
363,7301,64.0,2003,495,1427,2003,7,1,4,2,672,12.198549416880068
364,1680,21.0,1972,483,504,2007,5,1,2,1,264,11.678448377988165
365,18800,,1976,790,784,1976,6,1,3,2,566,12.154784614286667
366,10690,59.0,1920,672,672,1997,6,1,3,1,468,11.898194668458823
367,9500,,1963,1394,0,1963,6,1,3,2,514,11.976665770490767
368,9150,101.0,1962,1431,0,1962,6,1,3,1,296,12.013706813470414
369,7800,78.0,1954,1268,0,1954,7,1,2,1,244,11.790564777297387
370,9830,,1959,1287,0,2006,7,1,3,2,576,11.995357787034976
371,8121,,2000,953,711,2000,7,1,3,2,460,12.057578437658945
