location,date,new_cases
Austria,2021-06-11,216.0
Austria,2021-06-12,200.0
Austria,2021-06-13,233.0
Austria,2021-06-14,112.0
Austria,2021-06-15,117.0
Austria,2021-06-16,153.0
Austria,2021-06-17,179.0
Austria,2021-06-18,128.0
Austria,2021-06-19,136.0
Austria,2021-06-20,131.0
Austria,2021-06-21,94.0
Austria,2021-06-22,58.0
Austria,2021-06-23,117.0
Austria,2021-06-24,77.0
Austria,2021-06-25,94.0
Austria,2021-06-26,176.0
Austria,2021-06-27,69.0
Austria,2021-06-28,63.0
Austria,2021-06-29,29.0
Austria,2021-06-30,59.0
Austria,2021-07-01,62.0
Austria,2021-07-02,95.0
Austria,2021-07-03,93.0
Austria,2021-07-04,75.0
Austria,2021-07-05,80.0
Austria,2021-07-06,84.0
Austria,2021-07-07,107.0
Austria,2021-07-08,120.0
Austria,2021-07-09,163.0
Austria,2021-07-10,162.0
Austria,2021-07-11,159.0
Austria,2021-07-12,192.0
Austria,2021-07-13,218.0
Austria,2021-07-14,332.0
Austria,2021-07-15,306.0
Austria,2021-07-16,341.0
Austria,2021-07-17,411.0
Austria,2021-07-18,323.0
Austria,2021-07-19,263.0
Austria,2021-07-20,316.0
Austria,2021-07-21,431.0
Austria,2021-07-22,452.0
Austria,2021-07-23,392.0
Austria,2021-07-24,349.0
Austria,2021-07-25,332.0
Austria,2021-07-26,312.0
Austria,2021-07-27,367.0
Austria,2021-07-28,552.0
Austria,2021-07-29,503.0
Austria,2021-07-30,514.0
Austria,2021-07-31,538.0
Austria,2021-08-01,452.0
Austria,2021-08-02,364.0
Austria,2021-08-03,390.0
Austria,2021-08-04,592.0
Austria,2021-08-05,505.0
Austria,2021-08-06,563.0
Austria,2021-08-07,607.0
Austria,2021-08-08,553.0
Austria,2021-08-09,450.0
Austria,2021-08-10,601.0
Austria,2021-08-11,902.0
Austria,2021-08-12,850.0
Austria,2021-08-13,1005.0
Austria,2021-08-14,951.0
Austria,2021-08-15,891.0
Austria,2021-08-16,774.0
Austria,2021-08-17,866.0
Austria,2021-08-18,1221.0
Austria,2021-08-19,1226.0
Austria,2021-08-20,1258.0
Austria,2021-08-21,1328.0
Austria,2021-08-22,1121.0
Austria,2021-08-23,1077.0
Austria,2021-08-24,1002.0
Austria,2021-08-25,1574.0
Austria,2021-08-26,1438.0
Austria,2021-08-27,1602.0
Austria,2021-08-28,1322.0
Austria,2021-08-29,1415.0
Austria,2021-08-30,1120.0
Austria,2021-08-31,1229.0
Austria,2021-09-01,1848.0
Austria,2021-09-02,1510.0
Austria,2021-09-03,1753.0
Austria,2021-09-04,1715.0
Austria,2021-09-05,1774.0
Austria,2021-09-06,605.0
Austria,2021-09-07,1438.0
Austria,2021-09-08,2268.0
Austria,2021-09-09,2356.0
Austria,2021-09-10,2341.0
Austria,2021-09-11,2260.0
Austria,2021-09-12,1857.0
Austria,2021-09-13,1543.0
Austria,2021-09-14,1696.0
Austria,2021-09-15,2624.0
Austria,2021-09-16,2198.0
Austria,2021-09-17,2364.0
Austria,2021-09-18,1902.0
Austria,2021-09-19,1678.0
Austria,2021-09-20,1399.0
Austria,2021-09-21,1240.0
Austria,2021-09-22,2022.0
Austria,2021-09-23,1707.0
Austria,2021-09-24,1754.0
Austria,2021-09-25,2145.0
Austria,2021-09-26,1588.0
Austria,2021-09-27,1312.0
Austria,2021-09-28,1561.0
Austria,2021-09-29,2283.0
Austria,2021-09-30,2049.0
Austria,2021-10-01,1869.0
Austria,2021-10-02,1416.0
Austria,2021-10-03,2445.0
Austria,2021-10-04,1404.0
Austria,2021-10-05,910.0
Austria,2021-10-06,2693.0
Austria,2021-10-07,1965.0
Austria,2021-10-08,1878.0
Austria,2021-10-09,1868.0
Austria,2021-10-10,1675.0
Austria,2021-10-11,1320.0
Austria,2021-10-12,1390.0
Austria,2021-10-13,2614.0
Austria,2021-10-14,2169.0
Austria,2021-10-15,2432.0
Austria,2021-10-16,2397.0
Austria,2021-10-17,2242.0
Austria,2021-10-18,1897.0
Austria,2021-10-19,2590.0
Austria,2021-10-20,3727.0
Austria,2021-10-21,3648.0
Austria,2021-10-22,3582.0
Austria,2021-10-23,3756.0
Austria,2021-10-24,3624.0
Austria,2021-10-25,2850.0
Austria,2021-10-26,3369.0
Austria,2021-10-27,4261.0
Austria,2021-10-28,4248.0
Austria,2021-10-29,5861.0
Austria,2021-10-30,6102.0
Austria,2021-10-31,5684.0
Austria,2021-11-01,4523.0
Bangladesh,2021-01-01,990.0
Bangladesh,2021-01-02,684.0
Bangladesh,2021-01-03,835.0
Bangladesh,2021-01-04,910.0
Bangladesh,2021-01-05,991.0
Bangladesh,2021-01-06,978.0
Bangladesh,2021-01-07,1007.0
Bangladesh,2021-01-08,785.0
Bangladesh,2021-01-09,692.0
Bangladesh,2021-01-10,1071.0
Bangladesh,2021-01-11,849.0
Bangladesh,2021-01-12,718.0
Bangladesh,2021-01-13,890.0
Bangladesh,2021-01-14,813.0
Bangladesh,2021-01-15,762.0
Bangladesh,2021-01-16,578.0
Bangladesh,2021-01-17,569.0
Bangladesh,2021-01-18,697.0
Bangladesh,2021-01-19,702.0
Bangladesh,2021-01-20,656.0
Bangladesh,2021-01-21,584.0
Bangladesh,2021-01-22,619.0
Bangladesh,2021-01-23,436.0
Bangladesh,2021-01-24,473.0
Bangladesh,2021-01-25,602.0
Bangladesh,2021-01-26,515.0
Bangladesh,2021-01-27,528.0
Bangladesh,2021-01-28,509.0
Bangladesh,2021-01-29,454.0
Bangladesh,2021-01-30,363.0
Bangladesh,2021-01-31,369.0
Bangladesh,2021-02-01,443.0
Bangladesh,2021-02-02,525.0
Bangladesh,2021-02-03,438.0
Bangladesh,2021-02-04,485.0
Bangladesh,2021-02-05,435.0
Bangladesh,2021-02-06,305.0
Bangladesh,2021-02-07,292.0
Bangladesh,2021-02-08,316.0
Bangladesh,2021-02-09,387.0
Bangladesh,2021-02-10,388.0
Bangladesh,2021-02-11,378.0
Bangladesh,2021-02-12,444.0
Bangladesh,2021-02-13,291.0
Bangladesh,2021-02-14,326.0
Bangladesh,2021-02-15,446.0
Bangladesh,2021-02-16,396.0
Bangladesh,2021-02-17,443.0
Bangladesh,2021-02-18,391.0
Bangladesh,2021-02-19,406.0
Bangladesh,2021-02-20,350.0
Bangladesh,2021-02-21,327.0
Bangladesh,2021-02-22,366.0
Bangladesh,2021-02-23,399.0
Bangladesh,2021-02-24,428.0
Bangladesh,2021-02-25,410.0
Bangladesh,2021-02-26,470.0
Bangladesh,2021-02-27,407.0
Bangladesh,2021-02-28,385.0
Bangladesh,2021-03-01,585.0
Bangladesh,2021-03-02,515.0
Bangladesh,2021-03-03,614.0
Bangladesh,2021-03-04,619.0
Bangladesh,2021-03-05,635.0
Bangladesh,2021-03-06,540.0
Bangladesh,2021-03-07,606.0
Bangladesh,2021-03-08,845.0
Bangladesh,2021-03-09,912.0
Bangladesh,2021-03-10,1018.0
Bangladesh,2021-03-11,1051.0
Bangladesh,2021-03-12,1066.0
Bangladesh,2021-03-13,1014.0
Bangladesh,2021-03-14,1159.0
Bangladesh,2021-03-15,1773.0
Bangladesh,2021-03-16,1719.0
Bangladesh,2021-03-17,1865.0
Bangladesh,2021-03-18,2187.0
Bangladesh,2021-03-19,1899.0
Bangladesh,2021-03-20,1868.0
Bangladesh,2021-03-21,2172.0
Bangladesh,2021-03-22,2809.0
Bangladesh,2021-03-23,3554.0
Bangladesh,2021-03-24,3567.0
Bangladesh,2021-03-25,3587.0
Bangladesh,2021-03-26,3737.0
Bangladesh,2021-03-27,3674.0
Bangladesh,2021-03-28,3908.0
Bangladesh,2021-03-29,5181.0
Bangladesh,2021-03-30,5042.0
Bangladesh,2021-03-31,5358.0
Bangladesh,2021-04-01,6469.0
Bangladesh,2021-04-02,6830.0
Bangladesh,2021-04-03,5683.0
Bangladesh,2021-04-04,7087.0
Bangladesh,2021-04-05,7075.0
Bangladesh,2021-04-06,7213.0
Bangladesh,2021-04-07,7626.0
Bangladesh,2021-04-08,6854.0
Bangladesh,2021-04-09,7462.0
Bangladesh,2021-04-10,5343.0
Bangladesh,2021-04-11,5819.0
Bangladesh,2021-04-12,7201.0
Bangladesh,2021-04-13,6028.0
Bangladesh,2021-04-14,5185.0
Bangladesh,2021-04-15,4192.0
Bangladesh,2021-04-16,4417.0
Bangladesh,2021-04-17,3473.0
Bangladesh,2021-04-18,3698.0
Bangladesh,2021-04-19,4271.0
Bangladesh,2021-04-20,4559.0
Bangladesh,2021-04-21,4280.0
Bangladesh,2021-04-22,4014.0
Bangladesh,2021-04-23,3629.0
Bangladesh,2021-04-24,2697.0
Bangladesh,2021-04-25,2922.0
Bangladesh,2021-04-26,3306.0
Bangladesh,2021-04-27,3031.0
Bangladesh,2021-04-28,2955.0
Bangladesh,2021-04-29,2341.0
Bangladesh,2021-04-30,2177.0
Bangladesh,2021-05-01,1452.0
Bangladesh,2021-05-02,1359.0
Bangladesh,2021-05-03,1739.0
Bangladesh,2021-05-04,1914.0
Bangladesh,2021-05-05,1742.0
Bangladesh,2021-05-06,1822.0
Bangladesh,2021-05-07,1682.0
Bangladesh,2021-05-08,1285.0
Bangladesh,2021-05-09,1386.0
Bangladesh,2021-05-10,1514.0
Bangladesh,2021-05-11,1230.0
Bangladesh,2021-05-12,1140.0
Bangladesh,2021-05-13,1290.0
Bangladesh,2021-05-14,848.0
Bangladesh,2021-05-15,261.0
Bangladesh,2021-05-16,363.0
Bangladesh,2021-05-17,698.0
Bangladesh,2021-05-18,1272.0
Bangladesh,2021-05-19,1608.0
Bangladesh,2021-05-20,1457.0
Bangladesh,2021-05-21,1504.0
Bangladesh,2021-05-22,1028.0
Bangladesh,2021-05-23,1354.0
Bangladesh,2021-05-24,1441.0
Bangladesh,2021-05-25,1675.0
Bangladesh,2021-05-26,1497.0
Bangladesh,2021-05-27,1292.0
Bangladesh,2021-05-28,1358.0
Bangladesh,2021-05-29,1043.0
Bangladesh,2021-05-30,1444.0
Bangladesh,2021-05-31,1710.0
Bangladesh,2021-06-01,1765.0
Bangladesh,2021-06-02,1988.0
Bangladesh,2021-06-03,1687.0
Bangladesh,2021-06-04,1887.0
Bangladesh,2021-06-05,1447.0
Bangladesh,2021-06-06,1676.0
Bangladesh,2021-06-07,1970.0
Bangladesh,2021-06-08,2322.0
Bangladesh,2021-06-09,2537.0
Bangladesh,2021-06-10,2576.0
Bangladesh,2021-06-11,2454.0
Bangladesh,2021-06-12,1637.0
Bangladesh,2021-06-13,2436.0
Bangladesh,2021-06-14,3050.0
Bangladesh,2021-06-15,3319.0
Bangladesh,2021-06-16,3956.0
Bangladesh,2021-06-17,3840.0
Bangladesh,2021-06-18,3883.0
Bangladesh,2021-06-19,3057.0
Bangladesh,2021-06-20,3641.0
Bangladesh,2021-06-21,4636.0
Bangladesh,2021-06-22,4846.0
Bangladesh,2021-06-23,5727.0
Bangladesh,2021-06-24,6058.0
Bangladesh,2021-06-25,5869.0
Bangladesh,2021-06-26,4334.0
Bangladesh,2021-06-27,5268.0
Bangladesh,2021-06-28,8364.0
Bangladesh,2021-06-29,7666.0
Bangladesh,2021-06-30,8822.0
Bangladesh,2021-07-01,8301.0
Bangladesh,2021-07-02,8483.0
Bangladesh,2021-07-03,6214.0
Bangladesh,2021-07-04,8661.0
Bangladesh,2021-07-05,9964.0
Bangladesh,2021-07-06,11525.0
Bangladesh,2021-07-07,11162.0
Bangladesh,2021-07-08,11651.0
Bangladesh,2021-07-09,11324.0
Bangladesh,2021-07-10,8772.0
Bangladesh,2021-07-11,11874.0
Bangladesh,2021-07-12,13768.0
Bangladesh,2021-07-13,12198.0
Bangladesh,2021-07-14,12383.0
Bangladesh,2021-07-15,12236.0
Bangladesh,2021-07-16,12148.0
Bangladesh,2021-07-17,8489.0
Bangladesh,2021-07-18,11578.0
Bangladesh,2021-07-19,13321.0
Bangladesh,2021-07-20,11579.0
Bangladesh,2021-07-21,7614.0
Bangladesh,2021-07-22,3697.0
Bangladesh,2021-07-23,6364.0
Bangladesh,2021-07-24,6780.0
Bangladesh,2021-07-25,11291.0
Bangladesh,2021-07-26,15192.0
Bangladesh,2021-07-27,14925.0
Bangladesh,2021-07-28,16230.0
Bangladesh,2021-07-29,15271.0
Bangladesh,2021-07-30,13862.0
Bangladesh,2021-07-31,9369.0
Bangladesh,2021-08-01,14844.0
Bangladesh,2021-08-02,15989.0
Bangladesh,2021-08-03,15776.0
Bangladesh,2021-08-04,13817.0
Bangladesh,2021-08-05,12744.0
Bangladesh,2021-08-06,12606.0
Bangladesh,2021-08-07,8136.0
Bangladesh,2021-08-08,10299.0
Bangladesh,2021-08-09,11463.0
Bangladesh,2021-08-10,11164.0
Bangladesh,2021-08-11,10420.0
Bangladesh,2021-08-12,10126.0
Bangladesh,2021-08-13,8465.0
Bangladesh,2021-08-14,6885.0
Bangladesh,2021-08-15,6684.0
Bangladesh,2021-08-16,6959.0
Bangladesh,2021-08-17,7535.0
Bangladesh,2021-08-18,7248.0
Bangladesh,2021-08-19,6566.0
Bangladesh,2021-08-20,5993.0
Bangladesh,2021-08-21,3991.0
Bangladesh,2021-08-22,4804.0
Bangladesh,2021-08-23,5717.0
Bangladesh,2021-08-24,5249.0
Bangladesh,2021-08-25,4966.0
Bangladesh,2021-08-26,4698.0
Bangladesh,2021-08-27,3525.0
Bangladesh,2021-08-28,3436.0
Bangladesh,2021-08-29,3948.0
Bangladesh,2021-08-30,3724.0
Bangladesh,2021-08-31,3357.0
Bangladesh,2021-09-01,3062.0
Bangladesh,2021-09-02,3436.0
Bangladesh,2021-09-03,3167.0
Bangladesh,2021-09-04,1743.0
Bangladesh,2021-09-05,2430.0
Bangladesh,2021-09-06,2710.0
Bangladesh,2021-09-07,2639.0
Bangladesh,2021-09-08,2497.0
Bangladesh,2021-09-09,2588.0
Bangladesh,2021-09-10,2325.0
Bangladesh,2021-09-11,1327.0
Bangladesh,2021-09-12,1871.0
Bangladesh,2021-09-13,1953.0
Bangladesh,2021-09-14,2074.0
Bangladesh,2021-09-15,1901.0
Bangladesh,2021-09-16,1862.0
Bangladesh,2021-09-17,1907.0
Bangladesh,2021-09-18,1190.0
Bangladesh,2021-09-19,1383.0
Bangladesh,2021-09-20,1555.0
Bangladesh,2021-09-21,1562.0
Bangladesh,2021-09-22,1376.0
Bangladesh,2021-09-23,1144.0
Bangladesh,2021-09-24,1233.0
Bangladesh,2021-09-25,818.0
Bangladesh,2021-09-26,980.0
Bangladesh,2021-09-27,1212.0
Bangladesh,2021-09-28,1310.0
Bangladesh,2021-09-29,1178.0
Bangladesh,2021-09-30,860.0
Bangladesh,2021-10-01,847.0
Bangladesh,2021-10-02,589.0
Bangladesh,2021-10-03,617.0
Bangladesh,2021-10-04,794.0
Bangladesh,2021-10-05,694.0
Bangladesh,2021-10-06,703.0
Bangladesh,2021-10-07,663.0
Bangladesh,2021-10-08,645.0
Bangladesh,2021-10-09,415.0
Bangladesh,2021-10-10,481.0
Bangladesh,2021-10-11,599.0
Bangladesh,2021-10-12,543.0
Bangladesh,2021-10-13,518.0
Bangladesh,2021-10-14,466.0
Bangladesh,2021-10-15,396.0
Bangladesh,2021-10-16,293.0
Bangladesh,2021-10-17,314.0
Bangladesh,2021-10-18,339.0
Bangladesh,2021-10-19,469.0
Bangladesh,2021-10-20,368.0
Bangladesh,2021-10-21,243.0
Bangladesh,2021-10-22,232.0
Bangladesh,2021-10-23,278.0
Bangladesh,2021-10-24,275.0
Bangladesh,2021-10-25,289.0
Bangladesh,2021-10-26,276.0
Bangladesh,2021-10-27,306.0
Bangladesh,2021-10-28,294.0
Bangladesh,2021-10-29,305.0
Bangladesh,2021-10-30,166.0
Bangladesh,2021-10-31,211.0
Bangladesh,2021-11-01,214.0
Bhutan,2021-01-01,19.0
Bhutan,2021-01-02,21.0
Bhutan,2021-01-03,6.0
Bhutan,2021-01-04,18.0
Bhutan,2021-01-05,0.0
Bhutan,2021-01-06,21.0
Bhutan,2021-01-07,12.0
Bhutan,2021-01-08,4.0
Bhutan,2021-01-09,39.0
Bhutan,2021-01-10,3.0
Bhutan,2021-01-11,12.0
Bhutan,2021-01-12,6.0
Bhutan,2021-01-13,2.0
Bhutan,2021-01-14,1.0
Bhutan,2021-01-15,3.0
Bhutan,2021-01-16,5.0
Bhutan,2021-01-17,0.0
Bhutan,2021-01-18,1.0
Bhutan,2021-01-19,5.0
Bhutan,2021-01-20,2.0
Bhutan,2021-01-21,0.0
Bhutan,2021-01-22,1.0
Bhutan,2021-01-23,3.0
Bhutan,2021-01-24,1.0
Bhutan,2021-01-25,1.0
Bhutan,2021-01-26,0.0
Bhutan,2021-01-27,0.0
Bhutan,2021-01-28,1.0
Bhutan,2021-01-29,1.0
Bhutan,2021-01-30,0.0
Bhutan,2021-01-31,1.0
Bhutan,2021-02-01,0.0
Bhutan,2021-02-02,0.0
Bhutan,2021-02-03,0.0
Bhutan,2021-02-04,0.0
Bhutan,2021-02-05,2.0
Bhutan,2021-02-06,0.0
Bhutan,2021-02-07,0.0
Bhutan,2021-02-08,0.0
Bhutan,2021-02-09,0.0
Bhutan,2021-02-10,0.0
Bhutan,2021-02-11,0.0
Bhutan,2021-02-12,2.0
Bhutan,2021-02-13,0.0
Bhutan,2021-02-14,1.0
Bhutan,2021-02-15,2.0
Bhutan,2021-02-16,0.0
Bhutan,2021-02-17,0.0
Bhutan,2021-02-18,0.0
Bhutan,2021-02-19,0.0
Bhutan,2021-02-20,0.0
Bhutan,2021-02-21,0.0
Bhutan,2021-02-22,0.0
Bhutan,2021-02-23,1.0
Bhutan,2021-02-24,0.0
Bhutan,2021-02-25,0.0
Bhutan,2021-02-26,0.0
Bhutan,2021-02-27,0.0
Bhutan,2021-02-28,0.0
Bhutan,2021-03-01,0.0
Bhutan,2021-03-02,0.0
Bhutan,2021-03-03,0.0
Bhutan,2021-03-04,0.0
Bhutan,2021-03-05,0.0
Bhutan,2021-03-06,1.0
Bhutan,2021-03-07,0.0
Bhutan,2021-03-08,0.0
Bhutan,2021-03-09,0.0
Bhutan,2021-03-10,0.0
Bhutan,2021-03-11,0.0
Bhutan,2021-03-12,0.0
Bhutan,2021-03-13,0.0
Bhutan,2021-03-14,0.0
Bhutan,2021-03-15,0.0
Bhutan,2021-03-16,0.0
Bhutan,2021-03-17,0.0
Bhutan,2021-03-18,0.0
Bhutan,2021-03-19,0.0
Bhutan,2021-03-20,1.0
Bhutan,2021-03-21,0.0
Bhutan,2021-03-22,0.0
Bhutan,2021-03-23,0.0
Bhutan,2021-03-24,1.0
Bhutan,2021-03-25,0.0
Bhutan,2021-03-26,0.0
Bhutan,2021-03-27,1.0
Bhutan,2021-03-28,1.0
Bhutan,2021-03-29,0.0
Bhutan,2021-03-30,0.0
Bhutan,2021-03-31,1.0
Bhutan,2021-04-01,13.0
Bhutan,2021-04-02,3.0
Bhutan,2021-04-03,2.0
Bhutan,2021-04-04,0.0
Bhutan,2021-04-05,0.0
Bhutan,2021-04-06,5.0
Bhutan,2021-04-07,4.0
Bhutan,2021-04-08,0.0
Bhutan,2021-04-09,6.0
Bhutan,2021-04-10,4.0
Bhutan,2021-04-11,8.0
Bhutan,2021-04-12,3.0
Bhutan,2021-04-13,6.0
Bhutan,2021-04-14,2.0
Bhutan,2021-04-15,5.0
Bhutan,2021-04-16,7.0
Bhutan,2021-04-17,11.0
Bhutan,2021-04-18,5.0
Bhutan,2021-04-19,4.0
Bhutan,2021-04-20,5.0
Bhutan,2021-04-21,20.0
Bhutan,2021-04-22,6.0
Bhutan,2021-04-23,16.0
Bhutan,2021-04-24,10.0
Bhutan,2021-04-25,4.0
Bhutan,2021-04-26,4.0
Bhutan,2021-04-27,27.0
Bhutan,2021-04-28,6.0
Bhutan,2021-04-29,7.0
Bhutan,2021-04-30,8.0
Bhutan,2021-05-01,32.0
Bhutan,2021-05-02,5.0
Bhutan,2021-05-03,8.0
Bhutan,2021-05-04,16.0
Bhutan,2021-05-05,9.0
Bhutan,2021-05-06,17.0
Bhutan,2021-05-07,29.0
Bhutan,2021-05-08,12.0
Bhutan,2021-05-09,19.0
Bhutan,2021-05-10,20.0
Bhutan,2021-05-11,6.0
Bhutan,2021-05-12,10.0
Bhutan,2021-05-13,6.0
Bhutan,2021-05-14,13.0
Bhutan,2021-05-15,3.0
Bhutan,2021-05-16,7.0
Bhutan,2021-05-17,10.0
Bhutan,2021-05-18,13.0
Bhutan,2021-05-19,13.0
Bhutan,2021-05-20,16.0
Bhutan,2021-05-21,36.0
Bhutan,2021-05-22,18.0
Bhutan,2021-05-23,2.0
Bhutan,2021-05-24,17.0
Bhutan,2021-05-25,12.0
Bhutan,2021-05-26,41.0
Bhutan,2021-05-27,27.0
Bhutan,2021-05-28,12.0
Bhutan,2021-05-29,100.0
Bhutan,2021-05-30,9.0
Bhutan,2021-05-31,8.0
Bhutan,2021-06-01,12.0
Bhutan,2021-06-02,7.0
Bhutan,2021-06-03,15.0
Bhutan,2021-06-04,15.0
Bhutan,2021-06-05,13.0
Bhutan,2021-06-06,5.0
Bhutan,2021-06-07,16.0
Bhutan,2021-06-08,21.0
Bhutan,2021-06-09,15.0
Bhutan,2021-06-10,30.0
Bhutan,2021-06-11,20.0
Bhutan,2021-06-12,19.0
Bhutan,2021-06-13,5.0
Bhutan,2021-06-14,13.0
Bhutan,2021-06-15,16.0
Bhutan,2021-06-16,12.0
Bhutan,2021-06-17,28.0
Bhutan,2021-06-18,7.0
Bhutan,2021-06-19,14.0
Bhutan,2021-06-20,21.0
Bhutan,2021-06-21,15.0
Bhutan,2021-06-22,24.0
Bhutan,2021-06-23,7.0
Bhutan,2021-06-24,36.0
Bhutan,2021-06-25,7.0
Bhutan,2021-06-26,14.0
Bhutan,2021-06-27,25.0
Bhutan,2021-06-28,10.0
Bhutan,2021-06-29,14.0
Bhutan,2021-06-30,24.0
Bhutan,2021-07-01,4.0
Bhutan,2021-07-02,18.0
Bhutan,2021-07-03,11.0
Bhutan,2021-07-04,26.0
Bhutan,2021-07-05,10.0
Bhutan,2021-07-06,41.0
Bhutan,2021-07-07,39.0
Bhutan,2021-07-08,3.0
Bhutan,2021-07-09,6.0
Bhutan,2021-07-10,8.0
Bhutan,2021-07-11,9.0
Bhutan,2021-07-12,15.0
Bhutan,2021-07-13,34.0
Bhutan,2021-07-14,46.0
Bhutan,2021-07-15,10.0
Bhutan,2021-07-16,18.0
Bhutan,2021-07-17,13.0
Bhutan,2021-07-18,10.0
Bhutan,2021-07-19,6.0
Bhutan,2021-07-20,28.0
Bhutan,2021-07-21,1.0
Bhutan,2021-07-22,2.0
Bhutan,2021-07-23,12.0
Bhutan,2021-07-24,12.0
Bhutan,2021-07-25,4.0
